Date,open,high,low,close,volume,C-O,BuySignal
18-03-22,187.51,192.85,184.68,192.42,3112693,4.91,0
21-03-22,190.87,193.23,186.53,190.51,1885834,-0.36,0
22-03-22,189.95,192.19,187.51,187.75,2789004,-2.2,0
23-03-22,185.05,188.54,183.44,183.59,1865360,-1.46,1
24-03-22,188.2,191.38,184.25,191.08,2320544,2.88,0
25-03-22,191.58,191.84,186.4,190.46,1768217,-1.12,0
28-03-22,188.38,190.11,183.99,189.42,2490428,1.04,1
29-03-22,193.38,196.352,190.72,194.74,2083094,1.36,0
30-03-22,192.76,194.39,186.2301,187.33,1922403,-5.43,0
31-03-22,188.45,189.28,184.76,185.08,2627237,-3.37,0
01-04-22,187.12,187.12,179.15,182.02,2417287,-5.1,0
04-04-22,181.72,184.75,180.68,182.61,1844316,0.89,0
05-04-22,180.4,181.18,172.78,175.07,4213375,-5.33,0
06-04-22,170.845,177.25,169.78,174.02,3754899,3.175,0
07-04-22,172.51,175.56,169.44,172.92,2016251,0.41,0
08-04-22,170.52,170.72,165.26,167.5,5746516,-3.02,0
11-04-22,165.43,168.1568,164.75,165.52,3346946,0.09,1
12-04-22,169.83,170.47,165.08,166.23,3138920,-3.6,1
13-04-22,167.51,171.355,165.63,171.03,2922829,3.52,0
14-04-22,171.26,172.51,168.79,170,2698294,-1.26,0
18-04-22,169.7,176.73,169.15,173.25,2138362,3.55,1
19-04-22,170.225,179.28,170.225,178.65,2979308,8.425,1
20-04-22,180.67,185.28,178.37,178.79,2672864,-1.88,0
21-04-22,181.26,183.22,174.36,174.85,2346331,-6.41,0
22-04-22,174.76,175.33,170.015,170.75,2165393,-4.01,0
25-04-22,169.96,173.5,169.01,172.84,2781896,2.88,0
26-04-22,169.98,170.96,167.36,167.75,3351856,-2.23,1
27-04-22,166.645,172.41,165.67,170.76,3341974,4.115,1
28-04-22,172.06,179.43,170.31,177.25,3107041,5.19,0
29-04-22,174.47,178.11,170.64,170.9,2892924,-3.57,0
02-05-22,172.26,177.62,170.255,177,2776166,4.74,1
03-05-22,173.76,179.35,171.975,178.07,3271720,4.31,1
04-05-22,180.66,186.02,173.6,185.92,3166217,5.26,0
05-05-22,180.64,182.42,175.78,178.37,3974007,-2.27,0
06-05-22,177,182.27,173.73,177.58,2457386,0.58,0
09-05-22,174.93,176.79,171.85,172.9,3700082,-2.03,1
10-05-22,178.03,181.7899,172.62,178.44,3438552,0.41,0
11-05-22,175.93,178.61,170.55,170.87,3660038,-5.06,1
12-05-22,169.91,175.08,168.7,173.66,2557011,3.75,1
13-05-22,176.9,183.1,175.61,181.99,2878007,5.09,0
16-05-22,180.05,181.15,176.49,176.99,1949982,-3.06,1
17-05-22,182.04,185.87,181.13,185.64,2909627,3.6,0
18-05-22,182.5784,185.31,174.44,175.39,2654341,-7.1884,1
19-05-22,175.07,179.99,173.495,175.79,1672858,0.72,1
20-05-22,178.75,180.55,173.725,180.11,2744256,1.36,0
23-05-22,180.44,182.06,176.74,180.69,1891669,0.25,0
24-05-22,178.11,180.445,175.615,179.12,2200475,1.01,1
25-05-22,176.88,185.59,176.63,184.63,2294109,7.75,1
26-05-22,184.93,193.45,183.9,192.63,2883449,7.7,1
27-05-22,194.07,198.28,194.07,195.93,3266403,1.86,0
31-05-22,194.98,195.5,188.31,189.76,5124631,-5.22,0
01-06-22,191.08,191.19,181.92,184.57,2552850,-6.51,1
02-06-22,184.77,187.97,183.35,187.94,2443203,3.17,0
03-06-22,184.84,185.14,181.26,182.37,2310959,-2.47,0
06-06-22,183.99,184.5579,177.125,180.01,3169105,-3.98,1
07-06-22,178.31,182.48,176.1,181.83,2372787,3.52,0
08-06-22,181.47,181.595,175.56,177.07,2409901,-4.4,1
09-06-22,176.53,194.71,176.38,184.22,10137529,7.69,0
10-06-22,179.73,182.97,178.07,178.57,3614627,-1.16,0
13-06-22,173.52,176.92,167.77,168.52,3899423,-5,0
14-06-22,168.65,171.11,166.22,168.29,1892444,-0.36,1
15-06-22,170.71,172.155,165.1,168.94,2355609,-1.77,0
16-06-22,164.16,164.75,156.1,158.32,3994223,-5.84,0
17-06-22,159.37,160.7,156.55,157.83,4907509,-1.54,0
21-06-22,162.1,162.56,158.32,159.09,2655406,-3.01,0
22-06-22,156.05,159.71,155.72,156.95,2604261,0.9,0
23-06-22,157.87,157.9399,151.315,153.51,3186075,-4.36,1
24-06-22,155.99,160.55,155.48,159.32,14800220,3.33,0
27-06-22,161.36,161.36,157.65,158.86,2502636,-2.5,0
28-06-22,160.3,164.42,153.81,154.22,3229102,-6.08,0
29-06-22,152.88,153.75,146.975,150.02,3124815,-2.86,0
30-06-22,147.27,149.62,145.31,148.03,4467513,0.76,0
01-07-22,146.67,149.525,143.34,146.09,2531291,-0.58,0
05-07-22,141.93,146,140.33,145.91,3164976,3.98,0
06-07-22,145.83,147.87,143.7,145.75,2264355,-0.08,1
07-07-22,149.04,152.9,147.97,152.02,2362028,2.98,1
08-07-22,150.8,154.88,150.05,154.28,1721879,3.48,0
11-07-22,152.18,154.54,150.88,151.96,2093484,-0.22,1
12-07-22,152.85,154.8,151.09,152.24,1864697,-0.61,1
13-07-22,149.62,155.83,149.25,155.01,2439797,5.39,1
14-07-22,154.75,160.215,153,159.82,2337141,5.07,1
15-07-22,161.2,165.09,160.09,163.98,2681723,2.78,0
18-07-22,165.92,165.92,160.8,161.92,1985738,-4,1
19-07-22,164.12,170.81,164.12,170.43,2174482,6.31,1
20-07-22,169.45,177.48,168.28,176.48,2410453,7.03,1
21-07-22,177.9,180.14,175.01,179.95,2215814,2.05,0
22-07-22,180,180,172.7,175.14,2413884,-4.86,0
25-07-22,174.79,175.35,171.87,174.13,3663107,-0.66,1
26-07-22,177.46,177.88,174.01,174.46,3852550,-3,1
27-07-22,177.59,182.64,177.42,181.42,3222993,3.83,1
28-07-22,182.33,183.83,178.11,183.12,2275201,0.79,1
29-07-22,182.86,185.27,181.15,183.88,2527679,1.02,0
01-08-22,182.82,186.69,182.09,184.5,1928505,1.68,0
02-08-22,183.74,183.8,179.665,180.47,2645450,-3.27,1
03-08-22,181.25,186.18,180.9,185.55,2187863,4.3,0
04-08-22,184.83,185.195,182.49,184.26,1627754,-0.57,0
05-08-22,181.28,182.96,177.63,181.66,2240887,0.38,0
08-08-22,180.61,182.665,177.29,179.96,1660359,-0.65,0
09-08-22,176.43,177.39,169.34,171.04,3130604,-5.39,1
10-08-22,175.41,180.26,172.44,179.97,2726208,4.56,1
11-08-22,181.33,184.69,179.74,180.38,1488677,-0.95,1
12-08-22,181.8,187.57,181.315,187.47,2086006,5.67,0
15-08-22,186,189.13,184.41,187.57,1284500,1.57,0
16-08-22,186.77,187.555,184.76,185.85,1297556,-0.92,0
17-08-22,183.14,183.14,177.39,180.22,1681045,-2.92,1
18-08-22,180.63,184.98,179.893,182.76,1610089,2.13,0
19-08-22,180.94,183.17,179.28,180.33,1619975,-0.61,0
22-08-22,177.07,178.18,172.1,172.52,2154992,-4.55,1
23-08-22,172.15,176.81,172.15,173.94,1043714,1.79,0
24-08-22,174.26,174.26,170.36,173.01,1237991,-1.25,1
25-08-22,173.35,179.2,173.33,179.02,1542840,5.67,0
26-08-22,178.04,178.662,167.82,168.12,2380674,-9.92,0
29-08-22,166.66,168.575,165.5,165.88,1240460,-0.78,0
30-08-22,167.57,168.68,163.355,165.72,1967256,-1.85,0
31-08-22,166.07,167.12,163.23,164.58,2205458,-1.49,0
01-09-22,161.85,164.64,158.91,164.4,2188639,2.55,0
02-09-22,166.86,168.21,161.34,162.39,1696477,-4.47,0
06-09-22,161.86,163.16,159.01,160.75,2031868,-1.11,1
